handle,gender,tweet,category,topic,date,lat,long,location,state
phillyy22,male,"@swinford56 #NewYearsResolution more cocaine, more beer, more beard 👍",Humor,Humor about Health and Fitness Resolutions,12/30/2014,33.7748275,-84.2963123,"Decatur, GA, USA",Georgia
k_heetland,female,#NewYearsResolution unfollow everyone tonight who puts up a stupid instagram,Family/Friends/Relationships,Other,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
sweetdelightss,female,RT @ShaneNash94: #NewYearsResolution Eat more Pizza as well! Almost forgot about that! 🍕🍕🍕🍕,Recreation & Leisure,Other,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
itweetreallife,male,RT @JNotha: #NewYearsResolution quit Planet Fitness,Health & Fitness,Eat less meat,12/31/2014,31.5785074,-84.155741,"Albany, GA, USA",Georgia
DInternation,female,"#newyearsresolution Get Everything that God has for me. 
Faith+ Works.",Personal Growth,Focus on Religion and Faith,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
BatShitCrazy8,female,#NewYearsResolution ---&gt; listen to more @radiohead and @thomyorke each day. Might as well stick to what I know I can accomplish!,Recreation & Leisure,Other,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
wiggintonj,female,Oh.. This is ironic. #NewYearsResolution http://t.co/UMAAUwg7a5,Humor,Humor about New Years,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
LT_JoeC,male,My #NewYearsResolution is to actually use all of the deals on my @ChickfilA calendar card this year. #realisticresolutions,Time Management/Organization,Re-organize,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
AlexMascitti,male,#NewYearsResolution Get phat,Health & Fitness,Eat healthier,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
georgemorris44,male,"Which is why my New Years resolution is to become a better athlete all around, for both me and my horse. #lt #NewYearsResolution",Health & Fitness,Go to the gym more,12/31/2014,33.7045342,-84.546615,"Zone Ave SW, Atlanta, GA 30331, USA",Georgia
GabsterSmitty,female,I have one #NewYearsResolution for 2015. I resolve to win the lottery. Not just a dollar or two either. Big jackpot. #dreamofphilanthropy,Humor,Humor about Finance Resolutions,12/31/2014,33.7064994,-84.4080238,"Metropolitan Pkwy SW, Atlanta, GA, USA",Georgia
kpatel414,female,"Complain less, appreciate more. #NewYearsResolution",Personal Growth,Be more positive,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
Rafi2009,male,@AC360 Going to climb Mount Rainier. #NewYearsResolution,Recreation & Leisure,Take a trip,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
luvnbrat64,female,RT @TheCatchFence: #NewYearsResolution: attend more races in 2015.,Recreation & Leisure,Spend more time on my hobby,12/31/2014,32.0835407,-81.0998342,"Savannah, GA, USA",Georgia
tonyyega,male,You know what? I'm seriously going to release a country song in 2015. Change things up a bit. #2015 #NewYearsResolution #musiclife,Career,Other,12/31/2014,34.1650972,-84.7999382,"Cartersville, GA, USA",Georgia
jth1401,male,Fully plan on going to 3 different warped tour dates this year #NewYearsResolution,Recreation & Leisure,Take a trip,12/31/2014,32.4487876,-81.7831674,"Statesboro, GA, USA",Georgia
Mariah_QBM,female,My #NewYearsResolution? To use more George Lopez quotes in my daily conversations.,Humor,Humor about Education/Training Resolutions,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
kingmal18,male,"My #NewYearsResolution is to go by the philosophy ""Why Not Me?""",Personal Growth,Focus on my self,12/31/2014,32.2382139,-84.3090798,"Ellaville, GA 31806, USA",Georgia
AmasonCj,female,"One resolution I have made, and try always to keep, is this: To rise above the little things. John Burroughs #NewYearsResolution",Personal Growth,Be more positive,12/31/2014,33.9519347,-83.357567,"Athens, GA, USA",Georgia
fred_white,male,"#NewYearsResolution I choose the miraculous over the mundane.
#Jesus",Personal Growth,Focus on Religion and Faith,12/31/2014,33.9519347,-83.357567,"Athens, GA, USA",Georgia
AngelaSeal,female,"#NewYearsResolution : quit taking myself so seriously, save more money &amp; get organized. These r listed frm most to least likely to succeed.",Finance,Save money,12/31/2014,33.9519347,-83.357567,"Athens, GA, USA",Georgia
javigonzalez666,male,RT @Jawdann_: #NewYearsResolution Get Bigger And Better MySelf Mentally,Personal Growth,Try new things,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
_morganppitch,female,"#NewYearsResolution 

Be the kindof Christian that doesn't have to tell what they believe. Actions speak louder than words. 😊",Personal Growth,Be more positive,1/1/2015,32.3771182,-82.5923554,"Soperton, GA, USA",Georgia
MrAlexTweets,male,"#NewYearsResolution Learn from yesterday, Live for today, Hope for tomorrow. ~Albert Einstein",Personal Growth,Be more positive,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
ARCook_writes,female,2015 already...so why can't I seem to get back to #writing? #procrastination  #NewYearsResolution,Recreation & Leisure,Spend more time on my hobby,1/1/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
mrsjezell,female,I am enjoying the lack of commercials during the parade. Let's agree to always be commercial-free. #newyearsresolution #HGTVNewYear,Time Management/Organization,Fix up my home office,1/1/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
joconnor_20,male,"#NewYearsResolution 
1. Get my drivers license 
2. Get a beach house 
3. Start taking voice lessons again
4. Get on the voice",Personal Growth,Try new things,1/1/2015,34.0289259,-84.198579,"Johns Creek, GA, USA",Georgia
BitFlourish,male,"@MikeSadorf *1 year later* 
""Get help for my gun addiction #NewYearsResolution""",Recreation & Leisure,Hike more,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
AFeministLife,female,My #NewYearsResolution is to always remember: if it doesn't get me closer to Orvieto #Italy it doesn't matter. #HeathagensTakeOnRoma,Personal Growth,Learn to let things go,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
SavvyElise__,female,#NewYearsResolution : be a better daughter &amp; girlfriend 💁💕,Family/Friends/Relationships,Spend more time with family,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
alanmanis1,male,"In 2015, I resolve to be even more sexy, if that is possible. #NewYearsResolution",Humor,Humor about Health and Fitness Resolutions,1/1/2015,33.952602,-84.5499327,"Marietta, GA, USA",Georgia
RogerAttick,male,@piedmontpark : This is my first public admission of #NewYearsResolution procrastination... The revised official start date is now 1/2/15,Humor,Humor about New Years,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
Paula_Deen,female,"Happy New Year! My #NewYearsResolution is to continue to share in the love and laughter with my family, and with y’all!",Family/Friends/Relationships,Spend more time with family,1/1/2015,32.0835407,-81.0998342,"Savannah, GA, USA",Georgia
f8alattraction_,female,I just want to improve myself not change #NewYearsResolution,Personal Growth,Focus on my self,1/1/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
Chaseallday3,male,#NewYearsResolution be sexy... Done,Personal Growth,Update my wardrobe,1/1/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
ShabbarZaidi,male,@yoursweetrani True I have a bad habit of doing that. Imma change that this year #NewYearNewMe #NewYearsResolution #JkNotReally,Humor,Humor about Helping Others Resolutions,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
isabel_darcy,female,“@StubHub: #NewYearsResolution = Go to more concerts!” Well tbh,Recreation & Leisure,See a Concert/Show,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
N0ahNich0las,male,RT @ThuhnderCAT: How bout if you don't fuck with me I don't fuck with you simple as that #NewYearsResolution,Family/Friends/Relationships,Be better at keeping in touch with loved ones or friends,1/1/2015,34.9831309,-85.2860676,"Rossville, GA, USA",Georgia
NeversonAngel23,female,"You can do it RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes""",Health & Fitness,Quit smoking,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
KinyuaJoselito,male,"@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes

http://t.co/UV8hwIpB0e",Health & Fitness,Go gluten free,12/31/2014,32.8406946,-83.6324022,"Macon, GA, USA",Georgia
bieberdictator,female,“@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes”yeah right,Health & Fitness,Quit smoking,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
john_pat_rick,male,How about reading 10 pages of a book? RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes,Health & Fitness,Quit smoking,12/31/2014,31.8263682,-84.0157354,"New York Rd, Leesburg, GA 31763, USA",Georgia
dekecopenhaver,male,#NewYearsResolution # 2: Make it a priority to see lots of live music shows with friends in #2015. Any suggestions would be appreciated.:),Recreation & Leisure,See a Concert/Show,1/1/2015,33.4734978,-82.0105148,"Augusta, GA, USA",Georgia
ATLREPPA,male,#NewYearsResolution to continue just to be ME 👈 👍💯,Personal Growth,Be more positive,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
paigeasgari,female,Aka start your New Years resolution of working out on Saturday when I'm not working thx,Career,Work for myself,1/1/2015,30.8327022,-83.2784851,"Valdosta, GA, USA",Georgia
lovemecudixo,female,New Years resolution to stop giving a fuck abt ppl who don't give a fuk abt me,Family/Friends/Relationships,Be better at keeping in touch with loved ones or friends,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
tiffanycaneda,female,RT @wattsdantzler: My New Years resolution: don't lose a single drop of cheese dip to the table at Mexican restaurants,Recreation & Leisure,Other,1/1/2015,33.4734978,-82.0105148,"Augusta, GA, USA",Georgia
skeletonczar,female,my New Years resolution should probably be stop stealing everyone's girl,Personal Growth,Respect Others,1/1/2015,34.0753762,-84.2940899,"Alpharetta, GA, USA",Georgia
John_Thespian,male,My new years resolution: To learn how to use a damn comma correctly.,Humor,Humor about Education/Training Resolutions,1/1/2015,33.0912359,-84.4374232,"Concord, GA 30206, USA",Georgia
HayleyRBarry,female,2015 New Years resolution pt 1: get an internship,Career,Make more money,1/1/2015,32.0835407,-81.0998342,"Savannah, GA, USA",Georgia
ryanjchang,male,RT @asad_ladhani: New Years resolution: become @ryanjchang,Personal Growth,Be more positive,1/1/2015,34.0289259,-84.198579,"Johns Creek, GA, USA",Georgia
yourtypicalprep,female,New Years resolution: have the best year ever. And no more impulse buys. 😁,Personal Growth,Improve my attitude,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
laraabe,female,My New Years resolution is to not have a New Years resolution.,Humor,Humor about Recreation and Leisure Resolutions,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
BlakeRT0803,male,"""New years resolution? Work on stage performance""",Career,Get a new job,1/1/2015,33.952602,-84.5499327,"Marietta, GA, USA",Georgia
SwhiteSean,male,RT @NancysPizza: New Years Resolution:  more pizza #2015HereWeCome,Personal Growth,Other,1/1/2015,33.3392842,-84.6485417,"Sharpsburg, GA, USA",Georgia
RedAyers,male,"2015 New Years resolution: Win megamillions jackpot, buy a tiger, drive it around in my lambo.",Humor,Humor about Health and Fitness Resolutions,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
YUNGYUCK,female,new years resolution is to never cry in front of anyone again,Personal Growth,Improve my attitude,1/1/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
katiemarshall24,female,What a coincidence it's my New Years resolution to eat more pizza 🍕😻🍕😻 http://t.co/EEaT33Uxyr,Personal Growth,Other,1/1/2015,33.9863536,-83.3455977,"Calhoun Dr, Athens, GA 30601, USA",Georgia
laurenunruhh,female,New Years resolution: never drink again,Health & Fitness,Drink Less Caffine,1/1/2015,30.7082644,-83.1873526,"Georgia Southern and Florida R, Georgia, USA",Georgia
mtayhales,female,my new years resolution is to pet more dogs and love more tiny animals,Philanthropic,Spread Peace,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
Austin_HOiT,male,My New Years resolution is to go to Cali,Recreation & Leisure,Take a trip,1/1/2015,34.1650972,-84.7999382,"Cartersville, GA, USA",Georgia
yesreKmaS,male,My New Years resolution is to catch Drake going to the same Starbucks twice in one day and then call him out on it,Humor,Humor about Family/Friends/Relationships Resolutions,1/1/2015,34.8641144,-85.3925101,"Lookout Mountain, Georgia 30738, USA",Georgia
lululauralady,female,RT @emjstumpy: Starting my New Years Resolution of getting fit right with a walk with mom and the puppy! #GettingWorkDone #GetFit,Health & Fitness,Excersize More,1/1/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
Jaylen_Victoria,female,My New Years resolution is to have everybody boyfriend stay tf outta my DM'S lol I've had my baby now they ready to be in my face 😂😩✋,Family/Friends/Relationships,Have a baby,1/2/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
COOLNSPOOKY,male,"New Years Resolution is to stop telling people with nice butts they have ""dumps like a truck""",Humor,Humor about not Resolutions in general,1/2/2015,34.0234337,-84.6154897,"Kennesaw, GA, USA",Georgia
ashleystollar,female,2015 New Years Resolution (pt 1): stop reading mommy blogs. I'm not invested enough to learn from strangers how to parent #NYResolutions,Personal Growth,Learn to let things go,1/2/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
denise_sanch,female,“@KylieJenner: 💀💀 http://t.co/3tgHqx63qh” New Years resolution- look like Kylie Jenner,Health & Fitness,Improve my body,1/2/2015,33.7518159,-84.3889984,"Lower Alabama St, Atlanta, GA 30312, USA",Georgia
ThisIsEWALK,male,New Years Resolution. Get more work done. Need my cityofink family to help me get like this. Just… http://t.co/mVQx9bLvY4,Career,Work for myself,1/2/2015,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
PeachPharm,female,"My new years resolution is to get to 1,000 followers and lose 10 lbs. :)",Health & Fitness,Lose weight,1/2/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
Ultamentkiller,male,"My New Years Resolution is simple, and it's universal. It's one that everyone should take. I will strive to be a better person.",Personal Growth,Be more positive,1/2/2015,32.1656221,-82.9000751,"Georgia, USA",Georgia
kfrancfashow,male,I definitely need to take more naps in 2015. Sounds like the most awesome New Years resolution to me #ijustneedsleep,Recreation & Leisure,Take more vacation,1/2/2015,31.6074365,-81.8853924,"Jesup, GA, USA",Georgia
georgialeesays,female,"#NewYearsResolution Refuse to be a victim. Stop pursuing people who can't give back and be with those who can. Forgive, but don't forget.",Personal Growth,Improve my attitude,12/26/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
tyunderwood,male,#NewYearsResolution Wake up 1 hour earlier every day. Start a podcast. Yes this is totally sincere.,Personal Growth,Improve my attitude,12/29/2014,32.0835407,-81.0998342,"Savannah, GA, USA",Georgia
samuelmarklyon,male,"My #NewYearsResolution is to not waste time on people, generally.",Personal Growth,Be more positive,12/29/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
DJ_Canvas,male,@nervomusic so excited for your show here in #ATL on #ValentinesDay!! My only #NewYearsResolution is to meet you girls!! #nervo #edm #dreams,Recreation & Leisure,Spend more time on my hobby,12/23/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
ewi8901,female,#NewYearsResolution To continue not to care what people think or say about me 😘,Personal Growth,Appreciate what I have,12/23/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
SlenZlyZ,male,"🎉🎉🎉#NewYearsResolution 🎉🎉🎉
  Don't sit around wishing and hoping
       #Getup
       #getout
   And do something
   Don't let yourself down",Humor,Humor about Personal Growth and Interests Resolutions,12/25/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
CharlesConceptz,male,RT @ThatsGoldChinaa: #NewYearsResolution  . say I love you &amp;' mean it .,Family/Friends/Relationships,Be better at keeping in touch with loved ones or friends,12/30/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
rianash_maxx,female,"It's #NewYearsResolution time. Don't know exactly what to ""resolute"" but I do know I wish for great health and personal growth in 2015 😊😋",Health & Fitness,Other,12/31/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
VanessaKEccles,female,Thankful that spring always comes after winter. #writerslife #NewYearsResolution http://t.co/3N4D9vZ8A8,Personal Growth,Improve my appearance,12/22/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
Trueking4real,male,Last year i aint get no likes. This year im going hard lol #confessions #NewYearsResolution,Personal Growth,Have more patience,12/23/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
Breauxxx_,female,#NewYearsResolution finish the books I've started and forgotten about,Personal Growth,Read more books,12/23/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
IAmLilTripp,male,The only thing i'm keeping from 2014 is my @LEVIS. My 501's to be exact. Everything else can go. #NewYearsResolution,Personal Growth,Update my wardrobe,12/23/2014,33.4734978,-82.0105148,"Augusta, GA, USA",Georgia
TheRealTapout,male,"I think I'm going to start making my Twitter game, quote in quote, stupid for 2015. #NewYearsResolution #NeedACleverHashtag",Humor,Humor about Family/Friends/Relationships Resolutions,12/23/2014,33.0362218,-85.0322444,"LaGrange, GA, USA",Georgia
x_noel_kreiss_x,male,My graduation photo.... I should probably take one soon... #newyearsresolution http://t.co/FgH5xHym4X,Education/Training,Finish school,12/23/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
BeautyIdaewor,female,I'm going to try to be a better friend/sister to my loved ones 😭 #newyearsresolution,Family/Friends/Relationships,Spend more time with significant other,12/24/2014,33.9689959,-83.3837708,"Atlanta Ave, Athens, GA 30601, USA",Georgia
CaesareanS,female,Can you imagine giving up #coffee? I no longer drink energy drinks D:  #NewYearsResolution http://t.co/oqqCVLZ5tO,Health & Fitness,Eat healthier,12/25/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
seaystarland,male,"One of my resolutions? To finish ALL of the ""Song Of Ice And Fire"" novels! #NewYearsResolution #GameOfThrones",Recreation & Leisure,Hike more,12/26/2014,34.831969,-84.7573612,"Eton Industrial Dr, Chatsworth, GA 30705, USA",Georgia
reneecranefit,female,My #NewYearsResolution is to help more people reach their health goals.,Philanthropic,Find a charity to support,12/26/2014,33.857328,-84.0199108,"Snellville, GA, USA",Georgia
seancooke57,male,Had to get that workout in then ball it up a little bit #2fit2quit #NewYearsResolution,Health & Fitness,Excersize More,12/26/2014,30.7999563,-81.6898261,"Kingsland, GA, USA",Georgia
JoeyRxdoc,male,@ServiceRecipe To experience a closer walk with God. #NewYearsResolution,Personal Growth,Have more patience,12/26/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
miss_prettyjt,female,Idk why I'm such an old woman! I'm getting a lil sleepy and it's only 8 O'CLOCK! #NewYearsResolution Start acting my real age!,Personal Growth,Be more positive,12/26/2014,33.7123305,-84.1051939,"Lithonia, GA 30058, USA",Georgia
SlenZlyZ,male,"How crazy is it
allowing others to dictate ur movement
If someone try and bring U down
Use them as a stepping stone
🎉 #NewYearsResolution 🎉",Personal Growth,Be more positive,12/26/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
OoSo_Poe,male,#NewYearsResolution Check my bank account more 😓,Finance,Manage debt,12/27/2014,30.8327022,-83.2784851,"Valdosta, GA, USA",Georgia
Georgia_Born912,male,I have a nack for sucking face pussy for 45 minutes until its swollen like boxing gloves......i gotta stop that  #NewYearsResolution,Humor,Humor about New Years,12/27/2014,31.7079919,-81.7423357,"Ludowici, GA 31316, USA",Georgia
Georgia_Born912,male,I will stop trying to fit the whole titie in ny mouth #NewYearsResolution,Humor,Humor about not Resolutions in general,12/27/2014,31.7079919,-81.7423357,"Ludowici, GA 31316, USA",Georgia
ImFrankieemir,male,NewYears resolution for me??  continue Balling on This Kats don't ever stop. #NewYearsResolution,Recreation & Leisure,Other,12/27/2014,33.9519347,-83.357567,"Athens, GA, USA",Georgia
ZephaniahTerry,male,"New year, new cut, new me. - Justin V. Gill #NewYearsResolution",Personal Growth,Focus on My Future,12/27/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
TheAmazingIrvin,male,My #NewYearsResolution is to hug more ppl and make more ppl happy!! #EveryoneMatters ❤️❤️❤️ http://t.co/lUOiLVRZvY,Philanthropic,Spread Peace,12/27/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
iMajorWish,male,#NewYearsResolution: Manage my Eagle Express and Dining Dollars better. Dnt want to be out by the first two months of school #OnlyAtSouthern,Finance,Cash in on my stock options,12/27/2014,30.7082644,-83.1873526,"Georgia Southern and Florida R, Georgia, USA",Georgia
adav10744,female,"You know... So what if people are going to say new year, new me. At least they are being positive😌 #NewYearsResolution",Personal Growth,Be more positive,12/28/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
TheDylanMichael,male,#NewYearsResolution get my band signed to @FueledByRamen :) #jointhefamily,Career,Other,12/28/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
Dixie_Williams,female,"""Let us strive to know The Lord"" ~Hosea  6:1-6 #NewYearsResolution #lovemychurch @fbccanton #preachestruth #straightfromtheword",Personal Growth,Focus on Religion and Faith,12/28/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
seaystarland,male,#NewYearsResolution NOT to read the Bible AT ALL!!,Personal Growth,Be more positive,12/28/2014,34.7659145,-84.7699385,"Chatsworth, GA 30705, USA",Georgia
seaystarland,male,#NewYearsResolution To learn more about real science and more about how ignorant people have been deluded by religion!,Education/Training,Study More,12/28/2014,34.7659145,-84.7699385,"Chatsworth, GA 30705, USA",Georgia
DillonGover,male,My year couldn't have ended any better. #NewYearsResolution is seeing you more❤️,Family/Friends/Relationships,Spend more time with significant other,12/28/2014,32.0835407,-81.0998342,"Savannah, GA, USA",Georgia
ivytdo,female,"My only goal in 2015 is to be happy. Genuinely, Intensely, Consistently, HAPPY. #NewYearsResolution",Personal Growth,Be more positive,12/28/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
seaystarland,male,My #NewYearsResolution? Not to make any resolutions! Oops!!,Humor,Humor about Helping Others Resolutions,12/29/2014,34.7659145,-84.7699385,"Chatsworth, GA 30705, USA",Georgia
ITSDREWBABY,male,I Need Wifey Material For 2015 #NewYearsResolution,Family/Friends/Relationships,Find a Girlfriend,12/29/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
LouisMartinJr,male,My New Years Resolution is 1080p... is this thing on (pats the mic)? #NewYearsResolution #NewYear #Joke,Humor,Humor about New Years,12/29/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
dkafka,female,2015 NY Resolution: remove all things in my life that make me unhappy.  One checkmark already down a few days early! #NewYearsResolution,Personal Growth,Be more positive,12/29/2014,32.0835407,-81.0998342,"Savannah, GA, USA",Georgia
RichWeather,male,"Not only am I into weather, but also #fitness. How about trying this exercise in 2015? #NewYearsResolution #workout http://t.co/9CKvig5AlV",Health & Fitness,Excersize More,12/29/2014,33.4734978,-82.0105148,"Augusta, GA, USA",Georgia
DyingToLive12,male,Saw @BertShowBert on cbs news tonight talking about New Years Weight loss Resolutions #fitnessmotivation #diet #NewYearsResolution,Health & Fitness,Lose weight,12/29/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
lovingmymarla,female,"@Cariloha  to celebrate my birthday on jan 2 and try to exercise more 
#HashtagOfTheWeek #NewYearsResolution",Health & Fitness,Excersize More,12/29/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
LadyThreadgill,female,@bizdistricts thankfully a new deli/fresh food market has opened a block away from home to help with #NewYearsResolution of keeping fit,Health & Fitness,Excersize More,12/29/2014,33.7487078,-84.404812,"Metropolitan Atlanta Rapid Transit Authority, Atlanta, GA 30314, USA",Georgia
SuckMyDax,male,"#NewYearsResolution time. In 2015, maybe try and set some more achievable goals: https://t.co/vvH57gjcQn #HappyNewYear",Career,Other,12/29/2014,32.8406946,-83.6324022,"Macon, GA, USA",Georgia
sofiaali_pls,female,#newyearsresolution block out people who send still send candy crush requests in 2015,Humor,Humor about Finance Resolutions,12/30/2014,33.7489954,-84.3879824,"Atlanta, GA, USA",Georgia
I85_South,male,#NewYearsResolution Prolly be getting my family together 👫👪,Family/Friends/Relationships,Spend more time with family,12/31/2014,32.1656221,-82.9000751,"Georgia, USA",Georgia
SarahHAugusta,female,I am eternally optimistic that my #NewYearsResolution goals can be achieved each year.,Personal Growth,Be more positive,12/31/2014,33.4734978,-82.0105148,"Augusta, GA, USA",Georgia
NikiNicole88,female,New Years Resolution: Go back to get my degree in Marine Biology 😍,Education/Training,Get my degree,1/2/2015,21.3069444,-157.8583333,"Honolulu, HI, USA",Hawaii
Crappy22,male,RT @hi_dar: wear more black #NewYearsResolution,Personal Growth,Update my wardrobe,12/30/2014,19.5429151,-155.6658568,"Hawaii County, HI, USA",Hawaii
genaxjove,female,"RT @APadeken: Starting yesterday, I don't put up with disrespect. #NewYearsResolution",Personal Growth,Respect Others,12/31/2014,21.4389123,-158.0000565,"O‘ahu, Hawaii, USA",Hawaii
biblio_phile,female,"My New Year's Resolutions re: teaching, running, &amp; dancing like a badass. #NYE2015 #NewYearsResolution #2015Goals http://t.co/zlilrRvyzb",Personal Growth,Other,12/31/2014,21.3069444,-157.8583333,"Honolulu, HI, USA",Hawaii
micahg808,male,RT @JennyPrathum: #NewYearsResolution get hot as fuck,Health & Fitness,Run a half / full marathon,1/1/2015,19.5429151,-155.6658568,"Hawaii County, HI, USA",Hawaii
buenosan,male,Finally done with my new years resolution list! So ready for 2015. http://t.co/Y70d7OlhOS,Humor,Humor about not Resolutions in general,1/1/2015,19.5429151,-155.6658568,"Hawaii County, HI, USA",Hawaii
Deb1323,female,My new years resolution is to work on last years resolutions.,Humor,Humor about not Resolutions in general,1/1/2015,21.3069444,-157.8583333,"Honolulu, HI, USA",Hawaii
_kirstenortiz,female,new years resolution: to have more patience &amp; not overreact as much,Personal Growth,Have more patience,1/1/2015,21.4389123,-158.0000565,"O‘ahu, Hawaii, USA",Hawaii
danyovalera,male,My New Years resolution every year is no cursing and to look hot as FVCK but Lauren had to play IDFWU right on midnight -_-,Humor,Humor about New Years,1/1/2015,21.3069444,-157.8583333,"Honolulu, HI, USA",Hawaii
_fmulu,female,I have a bad habit of tweeting everything on my mind when I'm pissed. I need to stop. Lol. #NewYearsResolution,Personal Growth,Watch less TV,12/26/2014,21.313149,-158.0089992,"Ewa Beach, HI, USA",Hawaii
Bruh_panda_sweq,female,Don't expect me to change its just a new year 😐 I am just going to be myself😌 #NewYearsResolution #newyearsameme ✌✌✌😏,Personal Growth,Appreciate what I have,12/22/2014,21.4389123,-158.0000565,"O‘ahu, Hawaii, USA",Hawaii
srslyc,female,Ive been through a lot this year and im deciding to leave it all in THIS YEAR. Ill grow from it by not dwelling on it ✨💭 #NewYearsResolution,Personal Growth,Appreciate what I have,12/27/2014,19.5429151,-155.6658568,"Hawaii County, HI, USA",Hawaii
ianposts,male,Having to move reminds me of my materialism and how many things I really don't need. #purge #NewYearsResolution #goodwill,Philanthropic,Donate more to charity,12/27/2014,21.3069444,-157.8583333,"Honolulu, HI, USA",Hawaii
djanus13,female,RT @CblocHD: #NewYearsResolution Spend time with my family! ❤️😃,Family/Friends/Relationships,Make new friends,12/28/2014,21.9708333,-159.715,"Kekaha, HI, USA",Hawaii
pixiehulagirl,female,"#NewYearsResolution 
All I really want... http://t.co/4W1plbhoZQ",Personal Growth,Focus on my self,12/29/2014,19.619305,-155.478945,"Island of Hawai'i, Hawaii, USA",Hawaii
jeanieschmaltz,female,@CorePowerYoga getting a jumpstart on my #NewYearsResolution #fit #strong #healthy #happy,Health & Fitness,Improve my body,12/29/2014,21.3069444,-157.8583333,"Honolulu, HI, USA",Hawaii
